gene,cell_type
FOXP3,Treg
IL2RA,Treg
CTLA4,Treg
ICOS,Treg
GATA3,Treg
CD4,Treg
BATF,Treg
PTPN22,Treg
NR3C1,Treg
CXCR4,Treg
CD28,Treg
RUNX3,Treg
CXCR6,Treg
CD5,Treg
IFNG,Th1
STAT4,Th1
CXCR3,Th1
TNF,Th1
RUNX3,Th1
IL2,Th1
CD40LG,Th1
SH2D2A,Th1
PTPN22,Th1
TNFSF14,Th1
CD96,Th1
GATA3,Th2
SELL,Th2
KLRB1,Th2
ICAM3,Th2
CD8A,CD8
CD8B,CD8
CD3E,CD8
CD3G,CD8
CCR7,CD8
SELL,CD8
LEF1,CD8
TCF7,CD8
CD27,CD8
GZMK,CD8
GZMB,CD8
KLRF1,CD8
IL1B,M1
CD86,M1
TLR2,M1
HIF1A,M1
PFKFB3,M1
NFKB1,M1
REL,M1
ITGAX,M1
FCGR3A,M1
CD14,M1
CD68,M1
CXCL16,M1
PLAUR,M1
CD163,M2
MRC1,M2
MSR1,M2
CCL18,M2
CD68,M2
IL10,M2
TGF_1,M2
FOLR2,M2
ABCA1,M2
MARCO,M2
CEACAM8,Neutrophils
ELANE,Neutrophils
MPO,Neutrophils
FCGR3B,Neutrophils
CD177,Neutrophils
CSF3R,Neutrophils
CXCR2,Neutrophils
ARG1,Neutrophils
FCGR1A,Neutrophils
PRTN3,Neutrophils
CD33,MDSC
CD14,MDSC
ITGAM,MDSC
CSF1R,MDSC
CD68,MDSC
IL6,MDSC
HIF1A,MDSC
POSTN,myCAFs
PDGFRB,myCAFs
COL4A1,myCAFs
TNC,myCAFs
LOX,myCAFs
FNDC3B,myCAFs
IL6,iCAFs
CXCL12,iCAFs
IL11,iCAFs
LIF,iCAFs
CXCL13,iCAFs
PTGES,iCAFs
CTRL,Acinar
CUZD1,Acinar
SERPINI2,Acinar
ANPEP,Acinar
AQP8,Acinar
PDIA2,Acinar
SEL1L,Acinar
MSLN,Mesothelial
WT1,Mesothelial
CALB2,Mesothelial
PDPN,Mesothelial
CLDN1,Mesothelial
FNDC3B,Mesothelial
VCAM1,Mesothelial
TJP2,Mesothelial
PDGFRB,Pericytes
RGS5,Pericytes
MCAM,Pericytes
NOTCH3,Pericytes
ABCC9,Pericytes
COL25A1,Pericytes
ADIPOQ,Adipocytes
PPARG,Adipocytes
PLIN1,Adipocytes
LEP,Adipocytes
LPL,Adipocytes
ACACA,Adipocytes
ADIPOR2,Adipocytes
PDGFRA,MSC
CXCL12,MSC
PDGFRL,MSC
FGFR1,MSC
DPT,MSC
COL4A1,MSC
FAP,PSC
PDGFRB,PSC
GFAP,PSC
Nestin,PSC
COL1A1,PSC
MMP2,PSC
TIMP1,PSC
SPARC,PSC
THBS2,PSC
CD14,Monocytes
CD68,Monocytes
CD163,Monocytes
CCR2,Monocytes
CCR1,Monocytes
